Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,2.06,2.06,2.06,2.06,2.059800664451827242,301,2,620.00,301,100.00,0.00,0.00
22-December-2020,2.06,2.06,2.06,2.06,2.000000000000000000,10,1,20.00,10,100.00,0.00,0.00
21-December-2020,2.06,2.06,2.06,2.06,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
18-December-2020,2.06,2.06,2.06,2.06,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
9-December-2020,1.97,1.97,1.97,1.97,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
8-December-2020,1.97,1.97,1.97,1.97,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
3-December-2020,1.97,1.97,1.97,1.97,1.000000000000000000,1,1,1.00,1,100.00,0.00,0.00
1-December-2020,1.97,1.97,1.97,1.97,1.969230769230769230,130,3,256.00,130,100.00,0.00,0.00
24-November-2020,2.07,2.07,2.07,2.07,2.056603773584905660,53,3,109.00,53,100.00,0.00,0.00
4-November-2020,2.07,2.07,2.07,2.07,2.050000000000000000,20,1,41.00,20,100.00,0.00,0.00
23-October-2020,2.17,2.17,2.17,2.17,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
9-September-2020,2.17,2.17,2.17,2.17,2.170000000000000000,100,1,217.00,100,100.00,0.00,0.00
27-August-2020,2.17,2.17,2.17,2.17,2.000000000000000000,5,1,10.00,5,100.00,0.00,0.00
26-August-2020,2.28,2.28,2.28,2.28,2.279894379479441720,5302,2,12088.00,5302,100.00,0.00,0.00
31-July-2020,2.39,2.39,2.39,2.39,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
5-June-2020,2.39,2.39,2.39,2.39,2.388632872503840245,651,1,1555.00,651,100.00,0.00,0.00
4-June-2020,2.40,2.40,2.40,2.40,2.398860398860398860,351,2,842.00,351,100.00,0.00,0.00
1-June-2020,2.50,2.50,2.50,2.50,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
13-May-2020,2.50,2.50,2.50,2.50,2.500000000000000000,46,1,115.00,46,100.00,0.00,0.00
21-April-2020,2.50,2.50,2.50,2.50,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
16-March-2020,2.50,2.50,2.50,2.50,2.500000000000000000,30,1,75.00,30,100.00,0.00,0.00
10-January-2020,2.50,2.50,2.50,2.50,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
23-December-2019,2.50,2.50,2.50,2.50,2.500000000000000000,10,1,25.00,10,100.00,0.00,0.00
4-December-2019,2.60,2.60,2.60,2.60,2.562500000000000000,16,1,41.00,16,100.00,0.00,0.00
20-November-2019,2.60,2.60,2.60,2.60,2.589743589743589743,39,1,101.00,39,100.00,0.00,0.00
19-November-2019,2.60,2.60,2.60,2.60,2.590163934426229508,61,2,158.00,61,100.00,0.00,0.00
1-November-2019,2.70,2.70,2.70,2.70,2.700000000000000000,10,1,27.00,10,100.00,0.00,0.00
18-October-2019,2.60,2.60,2.60,2.60,2.600000000000000000,10,1,26.00,10,100.00,0.00,0.00
16-October-2019,2.70,2.70,2.70,2.70,2.700000000000000000,110,3,297.00,110,100.00,0.00,0.00
15-October-2019,2.70,2.70,2.70,2.70,2.600000000000000000,5,1,13.00,5,100.00,0.00,0.00
14-October-2019,2.70,2.70,2.70,2.70,2.696428571428571428,56,2,151.00,56,100.00,0.00,0.00
11-October-2019,2.59,2.59,2.59,2.59,2.588888888888888888,90,1,233.00,90,100.00,0.00,0.00
10-October-2019,2.50,2.50,2.50,2.50,2.000000000000000000,1,1,2.00,1,100.00,0.00,0.00
9-October-2019,2.40,2.40,2.40,2.40,2.400000000000000000,10,1,24.00,10,100.00,0.00,0.00
7-October-2019,2.29,2.29,2.29,2.29,2.200000000000000000,10,1,22.00,10,100.00,0.00,0.00
4-October-2019,2.00,2.19,2.00,2.19,2.188118811881188118,101,2,221.00,101,100.00,0.19,0.19
3-October-2019,2.09,2.09,2.09,2.09,2.075000000000000000,40,4,83.00,40,100.00,0.00,0.00
1-October-2019,2.19,2.19,2.19,2.19,2.100000000000000000,10,1,21.00,10,100.00,0.00,0.00
30-September-2019,2.10,2.10,2.10,2.10,2.080000000000000000,25,1,52.00,25,100.00,0.00,0.00
27-September-2019,2.17,2.17,2.17,2.17,2.142857142857142857,35,2,75.00,35,100.00,0.00,0.00
26-September-2019,2.15,2.15,2.15,2.15,2.100000000000000000,10,1,21.00,10,100.00,0.00,0.00
25-September-2019,2.07,2.07,2.07,2.07,2.000000000000000000,10,1,20.00,10,100.00,0.00,0.00
24-September-2019,1.98,1.98,1.98,1.98,1.972602739726027397,73,3,144.00,73,100.00,0.00,0.00
23-September-2019,1.90,1.90,1.90,1.90,1.900000000000000000,20,1,38.00,20,100.00,0.00,0.00
20-September-2019,1.90,1.90,1.90,1.90,1.900000000000000000,20,1,38.00,20,100.00,0.00,0.00
19-September-2019,1.82,1.82,1.82,1.82,1.800000000000000000,20,1,36.00,20,100.00,0.00,0.00
18-September-2019,1.68,1.75,1.68,1.75,1.714285714285714285,21,2,36.00,21,100.00,0.07,0.07
17-September-2019,1.68,1.68,1.68,1.68,1.679814385150812064,862,4,1448.00,862,100.00,0.00,0.00
16-September-2019,1.60,1.60,1.60,1.60,1.599041533546325878,626,3,1001.00,626,100.00,0.00,0.00
13-September-2019,1.60,1.60,1.60,1.60,1.600000000000000000,10,1,16.00,10,100.00,0.00,0.00
12-September-2019,1.55,1.60,1.55,1.60,1.583333333333333333,60,2,95.00,60,100.00,0.05,0.05
11-September-2019,1.55,1.55,1.55,1.55,1.500000000000000000,10,1,15.00,10,100.00,0.00,0.00
9-September-2019,1.70,1.70,1.55,1.55,1.625000000000000000,200,2,325.00,200,100.00,0.15,-0.15
6-September-2019,1.63,1.63,1.63,1.63,1.333333333333333333,3,1,4.00,3,100.00,0.00,0.00
5-September-2019,1.63,1.63,1.63,1.63,1.600000000000000000,10,1,16.00,10,100.00,0.00,0.00
4-September-2019,1.71,1.71,1.63,1.63,1.661157024793388429,605,4,1005.00,359,59.34,0.08,-0.08
3-September-2019,1.55,1.71,1.55,1.71,1.615384615384615384,26,3,42.00,26,100.00,0.16,0.16
30-August-2019,1.63,1.63,1.63,1.63,1.627118644067796610,177,4,288.00,177,100.00,0.00,0.00
29-August-2019,1.89,1.89,1.71,1.71,1.800000000000000000,10,2,18.00,10,100.00,0.18,-0.18
28-August-2019,1.80,1.80,1.80,1.80,1.800000000000000000,15,2,27.00,15,100.00,0.00,0.00
27-August-2019,1.71,1.89,1.71,1.89,1.720000000000000000,25,4,43.00,25,100.00,0.18,0.18
26-August-2019,1.80,1.80,1.80,1.80,1.800000000000000000,50,1,90.00,50,100.00,0.00,0.00
