Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
8-December-2020,57.95,57.95,57.95,57.95,57.750000000000000000,4,2,231.00,4,100.00,0.00,0.00
4-December-2020,55.60,55.60,55.60,55.60,55.000000000000000000,1,1,55.00,1,100.00,0.00,0.00
27-November-2020,53.00,53.00,53.00,53.00,53.000000000000000000,3,1,159.00,3,100.00,0.00,0.00
20-November-2020,52.25,52.25,52.25,52.25,52.000000000000000000,2,1,104.00,2,100.00,0.00,0.00
19-November-2020,54.95,54.95,54.95,54.95,54.666666666666666666,3,1,164.00,3,100.00,0.00,0.00
18-November-2020,55.00,55.00,55.00,55.00,55.000000000000000000,2,1,110.00,2,100.00,0.00,0.00
16-October-2020,57.90,57.90,57.85,57.85,57.500000000000000000,2,2,115.00,2,100.00,0.05,-0.05
16-September-2020,55.50,55.50,55.50,55.50,55.000000000000000000,1,1,55.00,1,100.00,0.00,0.00
18-August-2020,52.90,52.90,52.90,52.90,52.000000000000000000,1,1,52.00,1,100.00,0.00,0.00
11-August-2020,50.40,50.40,50.40,50.40,50.000000000000000000,2,2,100.00,2,100.00,0.00,0.00
31-July-2020,48.00,48.00,48.00,48.00,48.000000000000000000,1,1,48.00,1,100.00,0.00,0.00
23-July-2020,48.00,48.00,48.00,48.00,48.000000000000000000,1,1,48.00,1,100.00,0.00,0.00
13-July-2020,48.45,48.45,48.45,48.45,48.440000000000000000,50,2,2422.00,50,100.00,0.00,0.00
4-June-2020,51.00,51.00,51.00,51.00,51.000000000000000000,25,1,1275.00,25,100.00,0.00,0.00
3-June-2020,48.60,48.60,48.60,48.60,48.600000000000000000,25,1,1215.00,25,100.00,0.00,0.00
2-June-2020,46.30,46.30,46.30,46.30,46.280000000000000000,25,1,1157.00,25,100.00,0.00,0.00
1-June-2020,44.10,44.10,44.10,44.10,44.071428571428571428,28,3,1234.00,28,100.00,0.00,0.00
