,x,,,,,,
1,7.455080476,,,,,,
2,7.283880092,,,,,,
3,8.618484708,,,,,,
4,10.50163112,,,,,,
5,9.425537238,,,,,,
6,9.119939904,,,,,AVG,9.429237902
7,10.33423342,,,,,MAX,18.28538666
8,6.756704742,,,,,VAR,4.006404196
9,11.4823471,,,,,QUARTILE,8.087001798
10,13.2099035,,,,,,
11,10.81636461,,,,,,
12,13.8494032,,,,,,
13,8.804080729,,,,,,
14,5.445505078,,,,,,
15,8.62598528,,,,,,
16,7.156282275,,,,,,
17,11.00654866,,,,,,
18,5.414932756,,,,,,
19,10.80187527,,,,,,
20,8.484979418,,,,,,
21,9.853245968,,,,,,
22,7.584046375,,,,,,
23,11.07919594,,,,,,
24,9.944782521,,,,,,
25,11.04504217,,,,,,
26,10.24085329,,,,,,
27,11.58075398,,,,,,
28,8.05451223,,,,,,
29,12.67451265,,,,,,
30,6.665666297,,,,,,
31,9.992008093,,,,,,
32,8.478921461,,,,,,
33,10.75765194,,,,,,
34,11.34338885,,,,,,
35,8.693932202,,,,,,
36,9.826653596,,,,,,
37,11.52739016,,,,,,
38,7.153215741,,,,,,
39,6.773922648,,,,,,
40,7.654389343,,,,,,
41,12.68126129,,,,,,
42,10.20350492,,,,,,
43,8.77340454,,,,,,
44,8.053554965,,,,,,
45,10.88614584,,,,,,
46,10.36491471,,,,,,
47,8.61590417,,,,,,
48,11.53662702,,,,,,
49,9.36501359,,,,,,
50,6.505872244,,,,,,
51,7.287341586,,,,,,
52,8.577845542,,,,,,
53,8.69117636,,,,,,
54,12.44883345,,,,,,
55,9.412503,,,,,,
56,10.59225,,,,,,
57,11.10389927,,,,,,
58,7.80289086,,,,,,
59,5.872936095,,,,,,
60,13.33402323,,,,,,
61,12.1789723,,,,,,
62,13.15908163,,,,,,
63,10.9841381,,,,,,
64,9.914459082,,,,,,
65,9.67541121,,,,,,
66,9.571238866,,,,,,
67,9.714817906,,,,,,
68,8.607108857,,,,,,
69,11.7024351,,,,,,
70,8.329180604,,,,,,
71,9.974061057,,,,,,
72,13.40328236,,,,,,
73,8.169333348,,,,,,
74,12.57223623,,,,,,
75,9.133331043,,,,,,
76,11.35774313,,,,,,
77,9.604963882,,,,,,
78,7.789639493,,,,,,
79,9.670672125,,,,,,
80,11.37197172,,,,,,
81,9.246681895,,,,,,
82,9.08254516,,,,,,
83,7.471518559,,,,,,
84,6.937826109,,,,,,
85,9.58942573,,,,,,
86,11.25005223,,,,,,
87,10.24801182,,,,,,
88,10.24748255,,,,,,
89,9.498550977,,,,,,
90,8.810144391,,,,,,
91,9.172007159,,,,,,
92,10.75529103,,,,,,
93,9.169392333,,,,,,
94,10.30873307,,,,,,
95,8.759510022,,,,,,
96,9.009050069,,,,,,
97,9.281181604,,,,,,
98,10.48613013,,,,,,
99,10.06333653,,,,,,
100,8.55494793,,,,,,
101,7.262978976,,,,,,
102,7.878860866,,,,,,
103,7.247813064,,,,,,
104,11.65165875,,,,,,
105,11.127551,,,,,,
106,11.97545282,,,,,,
107,10.60734093,,,,,,
108,5.95436844,,,,,,
109,10.78350597,,,,,,
110,7.773896454,,,,,,
111,7.70241434,,,,,,
112,8.194260565,,,,,,
113,9.811579665,,,,,,
114,12.9513275,,,,,,
115,10.28833771,,,,,,
116,9.764733261,,,,,,
117,10.17359605,,,,,,
118,9.361372276,,,,,,
119,11.86816088,,,,,,
120,8.3649637,,,,,,
121,11.77014662,,,,,,
122,9.276052184,,,,,,
123,7.741909411,,,,,,
124,6.935146623,,,,,,
125,9.956488455,,,,,,
126,6.11314361,,,,,,
127,9.17749785,,,,,,
128,9.191442232,,,,,,
129,9.431716186,,,,,,
130,15.02727303,,,,,,
131,12.70177334,,,,,,
132,8.837764991,,,,,,
133,12.10403167,,,,,,
134,7.39880149,,,,,,
135,9.02898468,,,,,,
136,7.692893674,,,,,,
137,12.72027616,,,,,,
138,9.309279224,,,,,,
139,14.50696537,,,,,,
140,10.41213785,,,,,,
141,9.078382235,,,,,,
142,8.602632384,,,,,,
143,9.750240842,,,,,,
144,8.595647078,,,,,,
145,8.64532523,,,,,,
146,7.629435188,,,,,,
147,8.466004144,,,,,,
148,9.294898483,,,,,,
149,9.098063109,,,,,,
150,10.12715991,,,,,,
151,7.600916836,,,,,,
152,9.141735256,,,,,,
153,10.27465072,,,,,,
154,11.93993786,,,,,,
155,6.945527534,,,,,,
156,8.107128062,,,,,,
157,9.303122233,,,,,,
158,8.449754063,,,,,,
159,12.90042225,,,,,,
160,8.991897013,,,,,,
161,12.11518057,,,,,,
162,7.968001403,,,,,,
163,9.851331938,,,,,,
164,9.836179445,,,,,,
165,8.23813452,,,,,,
166,9.641702169,,,,,,
167,8.686513201,,,,,,
168,12.33779038,,,,,,
169,9.249290151,,,,,,
170,9.153121667,,,,,,
171,10.3311811,,,,,,
172,8.649354256,,,,,,
173,10.64769125,,,,,,
174,9.553589287,,,,,,
175,7.425044238,,,,,,
176,11.27416106,,,,,,
177,7.478384094,,,,,,
178,9.213103823,,,,,,
179,10.48206521,,,,,,
180,9.130180358,,,,,,
181,10.20117063,,,,,,
182,8.020998241,,,,,,
183,9.963176773,,,,,,
184,10.60539765,,,,,,
185,10.44579628,,,,,,
186,7.853641538,,,,,,
187,5.974010784,,,,,,
188,12.80483779,,,,,,
189,10.0155063,,,,,,
190,11.31406736,,,,,,
191,7.717105417,,,,,,
192,6.582927895,,,,,,
193,7.364781421,,,,,,
194,8.562586127,,,,,,
195,7.678448174,,,,,,
196,9.374201383,,,,,,
197,8.092352614,,,,,,
198,11.31902972,,,,,,
199,11.86832762,,,,,,
200,11.09992859,,,,,,
201,10.05825717,,,,,,
202,11.67998442,,,,,,
203,10.0268336,,,,,,
204,10.41522973,,,,,,
205,11.2601532,,,,,,
206,9.744477176,,,,,,
207,8.329997511,,,,,,
208,10.12122195,,,,,,
209,14.56078486,,,,,,
210,9.004022706,,,,,,
211,11.4976607,,,,,,
212,10.8972113,,,,,,
213,9.847321992,,,,,,
214,8.601687556,,,,,,
215,6.280772174,,,,,,
216,10.25598392,,,,,,
217,11.70297739,,,,,,
218,14.71844872,,,,,,
219,10.4395369,,,,,,
220,7.296823914,,,,,,
